n_have_shirked,n_have_shirked_or_neg_NPV,n_first_best_closures,n_capital_requirements_closure,n_first_best_balanced_closures_under_shock,n_first_best_prudent_closures_under_shock,n_capital_requirements_balanced_closures_under_shock,n_capital_requirements_prudent_closures_under_shock,n_have_shirked_post_shock,n_have_shirked_or_neg_NPV_post_shock,n_first_best_closures_post_shock,n_capital_requirements_closures_post_shock
14,17,10,0,7,30,0,0,14,29,25,4
16,25,9,0,13,27,0,0,11,18,23,1
13,18,9,0,9,26,0,0,9,25,22,0
14,20,10,0,8,28,0,0,16,38,18,3
14,20,7,0,13,25,0,0,15,18,21,1
13,23,8,0,7,28,0,0,12,18,22,1
18,24,13,0,8,23,0,0,14,36,16,2
9,12,7,0,9,24,0,0,9,20,19,0
20,26,12,0,7,23,0,0,6,15,17,3
13,24,10,0,12,29,0,0,11,20,21,0
19,24,16,0,8,29,0,0,10,23,19,2
8,19,6,0,8,26,0,0,13,21,20,1
11,15,8,1,4,24,0,0,9,23,21,0
15,21,9,1,7,30,0,0,7,16,16,1
19,27,13,0,11,27,0,0,13,19,23,0
12,18,6,1,12,30,0,0,18,27,29,0
15,23,8,0,12,32,0,0,14,27,25,1
11,20,5,0,12,38,0,0,15,29,28,0
20,25,16,0,10,36,1,1,16,54,21,2
13,16,8,1,8,24,0,0,12,23,16,3
13,15,11,0,4,21,0,0,8,21,15,2
19,25,13,0,10,25,0,0,14,25,24,2
15,20,9,0,5,21,0,0,8,20,15,0
10,14,7,0,6,20,0,0,13,19,17,1
23,32,18,0,10,26,0,0,16,22,26,2
12,16,8,0,11,28,0,0,19,41,20,2
17,25,9,1,12,34,0,0,14,23,28,1
16,19,11,0,7,27,1,1,12,52,14,4
21,27,16,0,12,30,0,0,14,24,26,3
10,18,8,0,11,22,0,0,14,17,21,1
19,25,13,0,5,21,0,0,9,43,11,4
18,28,10,0,13,27,0,0,11,17,20,0
14,20,12,0,14,25,0,0,18,46,19,3
16,19,11,0,9,23,0,0,9,14,15,3
8,13,5,1,7,28,0,0,16,24,22,2
8,17,7,0,7,23,0,0,11,18,19,1
